方法名称1,方法名称2,方法参数,返回值类型,链接
pandas.,qcut,"(x, q, labels=None, retbins=False, precision=3, duplicates='raise')",Categorical or Series or array of integers if labels is False,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.qcut.html
Resampler.,pipe,"(func, *args, **kwargs)",the return type of func.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.pipe.html
Rolling.,min,"(numeric_only=False, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.min.html
Styler.,template_string,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.template_string.html
Styler.,template_string,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.template_string.html
Series.,index,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.index.html
pandas.errors.,CategoricalConversionWarning,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.CategoricalConversionWarning.html
pandas.,qcut,"(x, q, labels=None, retbins=False, precision=3, duplicates='raise')",Categorical or Series or array of integers if labels is False,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.qcut.html
pandas.api.indexers.,check_array_indexer,"(array, indexer)",numpy.ndarray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.indexers.check_array_indexer.html
pandas.plotting.,plot_params,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.plot_params.html
pandas.plotting.,plot_params,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.plot_params.html
pandas.api.indexers.,check_array_indexer,"(array, indexer)",numpy.ndarray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.indexers.check_array_indexer.html
DataFrame.,columns,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.columns.html
Resampler.,ffill,(limit=None),An upsampled Series.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.ffill.html
pandas.errors.,CategoricalConversionWarning,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.CategoricalConversionWarning.html
DataFrameGroupBy.,get_group,"(name, obj=None)",same type as obj,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.get_group.html
Rolling.,max,"(numeric_only=False, *args, engine=None, engine_kwargs=None, **kwargs)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.max.html
DataFrameGroupBy.,get_group,"(name, obj=None)",same type as obj,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.get_group.html
DataFrame.,columns,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.columns.html
Index.,is_monotonic_decreasing,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_monotonic_decreasing.html
Index.,is_monotonic_decreasing,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_monotonic_decreasing.html
DataFrame.,to_csv,"(path_or_buf=None, sep=',', na_rep='', float_format=None, columns=None, header=True, index=True, index_label=None, mode='w', encoding=None, compression='infer', quoting=None, quotechar='""', lineterminator=None, chunksize=None, date_format=None, doublequote=True, escapechar=None, decimal='.', errors='strict', storage_options=None)",None or str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_csv.html
Resampler.,ffill,(limit=None),An upsampled Series.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.ffill.html
Styler.,loader,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.loader.html
Styler.,loader,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.loader.html
Rolling.,max,"(numeric_only=False, *args, engine=None, engine_kwargs=None, **kwargs)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.max.html
pandas.errors.,ChainedAssignmentError,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.ChainedAssignmentError.html
pandas.,Timestamp,"(ts_input=<object object>, year=None, month=None, day=None, hour=None, minute=None, second=None, microsecond=None, tzinfo=None, *, nanosecond=None, tz=None, unit=None, fold=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.html
pandas.,Timestamp,"(ts_input=<object object>, year=None, month=None, day=None, hour=None, minute=None, second=None, microsecond=None, tzinfo=None, *, nanosecond=None, tz=None, unit=None, fold=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.html
DataFrame.,to_csv,"(path_or_buf=None, sep=',', na_rep='', float_format=None, columns=None, header=True, index=True, index_label=None, mode='w', encoding=None, compression='infer', quoting=None, quotechar='""', lineterminator=None, chunksize=None, date_format=None, doublequote=True, escapechar=None, decimal='.', errors='strict', storage_options=None)",None or str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_csv.html
pandas.plotting.,radviz,"(frame, class_column, ax=None, color=None, colormap=None, **kwds)",matplotlib.axes.Axes,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.radviz.html
pandas.,merge,"(left, right, how='inner', on=None, left_on=None, right_on=None, left_index=False, right_index=False, sort=False, suffixes=('_x', '_y'), copy=None, indicator=False, validate=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.merge.html
pandas.plotting.,radviz,"(frame, class_column, ax=None, color=None, colormap=None, **kwds)",matplotlib.axes.Axes,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.radviz.html
Series.,array,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.array.html
pandas.errors.,ChainedAssignmentError,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.ChainedAssignmentError.html
SeriesGroupBy.,get_group,"(name, obj=None)",same type as obj,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.SeriesGroupBy.get_group.html
SeriesGroupBy.,get_group,"(name, obj=None)",same type as obj,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.SeriesGroupBy.get_group.html
Resampler.,bfill,(limit=None),"Series, DataFrame",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.bfill.html
DateOffset.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.DateOffset.freqstr.html
pandas.,merge,"(left, right, how='inner', on=None, left_on=None, right_on=None, left_index=False, right_index=False, sort=False, suffixes=('_x', '_y'), copy=None, indicator=False, validate=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.merge.html
Rolling.,corr,"(other=None, pairwise=None, ddof=1, numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.corr.html
DataFrame.,dtypes,,pandas.Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.dtypes.html
pandas.,read_fwf,"(filepath_or_buffer, *, colspecs='infer', widths=None, infer_nrows=100, dtype_backend=_NoDefault.no_default, **kwds)",DataFrame or TextFileReader,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_fwf.html
DateOffset.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.DateOffset.freqstr.html
DataFrame.,dtypes,,pandas.Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.dtypes.html
pandas.errors.,ClosedFileError,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.ClosedFileError.html
Series.,array,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.array.html
Resampler.,bfill,(limit=None),"Series, DataFrame",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.bfill.html
pandas.plotting.,register_matplotlib_converters,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.register_matplotlib_converters.html
Styler.,apply,"(func, axis=0, subset=None, **kwargs)",Styler,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.apply.html
pandas.plotting.,register_matplotlib_converters,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.register_matplotlib_converters.html
Index.,is_unique,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_unique.html
Index.,is_unique,,boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_unique.html
pandas.,NaT,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.NaT.html
Styler.,apply,"(func, axis=0, subset=None, **kwargs)",Styler,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.apply.html
Rolling.,corr,"(other=None, pairwise=None, ddof=1, numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.corr.html
pandas.,NaT,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.NaT.html
pandas.,read_fwf,"(filepath_or_buffer, *, colspecs='infer', widths=None, infer_nrows=100, dtype_backend=_NoDefault.no_default, **kwds)",DataFrame or TextFileReader,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_fwf.html
pandas.errors.,ClosedFileError,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.ClosedFileError.html
Resampler.,nearest,(limit=None),Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.nearest.html
pandas.,merge_ordered,"(left, right, on=None, left_on=None, right_on=None, left_by=None, right_by=None, fill_method=None, suffixes=('_x', '_y'), how='outer')",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.merge_ordered.html
Rolling.,cov,"(other=None, pairwise=None, ddof=1, numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.cov.html
pandas.,read_clipboard,"(sep='\\s+', dtype_backend=_NoDefault.no_default, **kwargs)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_clipboard.html
pandas.,merge_ordered,"(left, right, on=None, left_on=None, right_on=None, left_by=None, right_by=None, fill_method=None, suffixes=('_x', '_y'), how='outer')",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.merge_ordered.html
Resampler.,nearest,(limit=None),Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.nearest.html
pandas.errors.,CSSWarning,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.CSSWarning.html
pandas.plotting.,scatter_matrix,"(frame, alpha=0.5, figsize=None, ax=None, grid=False, diagonal='hist', marker='.', density_kwds=None, hist_kwds=None, range_padding=0.05, **kwargs)",numpy.ndarray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.scatter_matrix.html
pandas.plotting.,scatter_matrix,"(frame, alpha=0.5, figsize=None, ax=None, grid=False, diagonal='hist', marker='.', density_kwds=None, hist_kwds=None, range_padding=0.05, **kwargs)",numpy.ndarray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.scatter_matrix.html
pandas.,Grouper,"(*args, **kwargs)",A specification for a groupby instruction,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Grouper.html
Rolling.,cov,"(other=None, pairwise=None, ddof=1, numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.cov.html
pandas.,Grouper,"(*args, **kwargs)",A specification for a groupby instruction,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Grouper.html
Styler.,applymap,"(func, subset=None, **kwargs)",Styler,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.applymap.html
pandas.,read_clipboard,"(sep='\\s+', dtype_backend=_NoDefault.no_default, **kwargs)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_clipboard.html
pandas.errors.,CSSWarning,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.errors.CSSWarning.html
DataFrame.,info,"(verbose=None, buf=None, max_cols=None, memory_usage=None, show_counts=None)",None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.info.html
Styler.,applymap,"(func, subset=None, **kwargs)",Styler,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.applymap.html
Series.,values,,numpy.ndarray or ndarray-like,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.values.html
Rolling.,skew,(numeric_only=False),Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.skew.html
DataFrame.,info,"(verbose=None, buf=None, max_cols=None, memory_usage=None, show_counts=None)",None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.info.html
Series.,values,,numpy.ndarray or ndarray-like,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.values.html
Resampler.,fillna,"(method, limit=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.fillna.html
Timestamp.,asm8,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.asm8.html
Timestamp.,asm8,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.asm8.html
Index.,has_duplicates,,bool,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.has_duplicates.html
Index.,has_duplicates,,bool,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.has_duplicates.html
