方法名称1,方法名称2,方法参数,返回值类型,链接
ma.MaskedArray.,compressed,(),None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.compressed.html
polynomial.legendre.,legfit,"(x, y, deg, rcond=None, full=False, w=None)",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legfit.html
polynomial.legendre.,legtrim,"(c, tol=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legtrim.html
polynomial.legendre.,legline,"(off, scl)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.legline.html
ma.MaskedArray.,filled,(fill_value=None),ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.filled.html
polynomial.legendre.,leg2poly,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.leg2poly.html
polynomial.legendre.,poly2leg,(pol),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.legendre.poly2leg.html
ma.MaskedArray.,tofile,"(fid, sep='', format='%s')",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.tofile.html
polynomial.polyutils.,RankWarning,,None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polyutils.RankWarning.html
polynomial.polyutils.,as_series,"(alist, trim=True)",list of 1-D arrays,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polyutils.as_series.html
ma.MaskedArray.,tolist,(fill_value=None),list,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.tolist.html
polynomial.polyutils.,trimseq,(seq),sequence,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polyutils.trimseq.html
polynomial.polyutils.,trimcoef,"(c, tol=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polyutils.trimcoef.html
polynomial.polyutils.,getdomain,(x),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polyutils.getdomain.html
ma.MaskedArray.,torecords,(),ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.torecords.html
polynomial.polyutils.,mapdomain,"(x, old, new)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polyutils.mapdomain.html
polynomial.polyutils.,mapparms,"(old, new)",scalars,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polyutils.mapparms.html
ma.MaskedArray.,tobytes,"(fill_value=None, order='C')",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.tobytes.html
ma.,common_fill_value,"(a, b)",scalar or None,https://numpy.org/devdocs/reference/generated/numpy.ma.common_fill_value.html
numpy.,poly1d,"(c_or_r, r=False, variable=None)",None,https://numpy.org/devdocs/reference/generated/numpy.poly1d.html
numpy.,polyval,"(p, x)",ndarray or poly1d,https://numpy.org/devdocs/reference/generated/numpy.polyval.html
numpy.,poly,(seq_of_zeros),None,https://numpy.org/devdocs/reference/generated/numpy.poly.html
numpy.,roots,(p),ndarray,https://numpy.org/devdocs/reference/generated/numpy.roots.html
ma.,default_fill_value,(obj),scalar,https://numpy.org/devdocs/reference/generated/numpy.ma.default_fill_value.html
numpy.,polyfit,"(x, y, deg, rcond=None, full=False, w=None, cov=False)",None,https://numpy.org/devdocs/reference/generated/numpy.polyfit.html
numpy.,polyder,"(p, m=1)",poly1d,https://numpy.org/devdocs/reference/generated/numpy.polyder.html
ma.,maximum_fill_value,(obj),scalar,https://numpy.org/devdocs/reference/generated/numpy.ma.maximum_fill_value.html
numpy.,polyint,"(p, m=1, k=None)",None,https://numpy.org/devdocs/reference/generated/numpy.polyint.html
numpy.,polyadd,"(a1, a2)",ndarray or poly1d object,https://numpy.org/devdocs/reference/generated/numpy.polyadd.html
numpy.,polydiv,"(u, v)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polydiv.html
numpy.,polymul,"(a1, a2)",ndarray or poly1d object,https://numpy.org/devdocs/reference/generated/numpy.polymul.html
ma.,minimum_fill_value,(obj),scalar,https://numpy.org/devdocs/reference/generated/numpy.ma.minimum_fill_value.html
numpy.,polysub,"(a1, a2)",ndarray or poly1d,https://numpy.org/devdocs/reference/generated/numpy.polysub.html
numpy.,RankWarning,,None,https://numpy.org/devdocs/reference/generated/numpy.RankWarning.html
ma.,set_fill_value,"(a, fill_value)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.set_fill_value.html
ma.MaskedArray.,get_fill_value,(),None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.get_fill_value.html
ma.MaskedArray.,set_fill_value,(value=None),None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.set_fill_value.html
ma.,anom,"(self, axis=None, dtype=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.anom.html
ma.,anomalies,"(self, axis=None, dtype=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.anomalies.html
ma.,average,"(a, axis=None, weights=None, returned=False, *, keepdims=<no value>)",(tuple of) scalar or MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.average.html
ma.,conjugate,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.conjugate.html
ma.,corrcoef,"(x, y=None, rowvar=True, bias=<no value>, allow_masked=True, ddof=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.corrcoef.html
ma.,cov,"(x, y=None, rowvar=True, bias=False, allow_masked=True, ddof=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.cov.html
ma.,cumsum,"(self, axis=None, dtype=None, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.cumsum.html
ma.,cumprod,"(self, axis=None, dtype=None, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.cumprod.html
ma.,mean,"(self, axis=None, dtype=None, out=None, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.mean.html
ma.,median,"(a, axis=None, out=None, overwrite_input=False, keepdims=False)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.median.html
ma.,power,"(a, b, third=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.power.html
ma.,prod,"(self, axis=None, dtype=None, out=None, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.prod.html
ma.,std,"(self, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, mean=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.std.html
ma.,sum,"(self, axis=None, dtype=None, out=None, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.sum.html
ma.,var,"(self, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, mean=<no value>)","ndarray, see dtype parameter above",https://numpy.org/devdocs/reference/generated/numpy.ma.var.html
ma.MaskedArray.,anom,"(axis=None, dtype=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.anom.html
ma.MaskedArray.,cumprod,"(axis=None, dtype=None, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.cumprod.html
ma.MaskedArray.,cumsum,"(axis=None, dtype=None, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.cumsum.html
ma.MaskedArray.,mean,"(axis=None, dtype=None, out=None, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.mean.html
ma.MaskedArray.,prod,"(axis=None, dtype=None, out=None, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.prod.html
ma.MaskedArray.,std,"(axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, mean=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.std.html
ma.MaskedArray.,sum,"(axis=None, dtype=None, out=None, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.sum.html
ma.MaskedArray.,var,"(axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, mean=<no value>)","ndarray, see dtype parameter above",https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.var.html
ma.,argmax,"(self, axis=None, fill_value=None, out=None)",{integer_array},https://numpy.org/devdocs/reference/generated/numpy.ma.argmax.html
ma.,argmin,"(self, axis=None, fill_value=None, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.argmin.html
ma.,max,"(obj, axis=None, out=None, fill_value=None, keepdims=<no value>)",array_like,https://numpy.org/devdocs/reference/generated/numpy.ma.max.html
ma.,min,"(obj, axis=None, out=None, fill_value=None, keepdims=<no value>)",array_like,https://numpy.org/devdocs/reference/generated/numpy.ma.min.html
ma.,ptp,"(obj, axis=None, out=None, fill_value=None, keepdims=<no value>)",ndarray.,https://numpy.org/devdocs/reference/generated/numpy.ma.ptp.html
ma.,diff,"(a, /, n=1, axis=-1, prepend=<no value>, append=<no value>)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.diff.html
ma.MaskedArray.,argmax,"(axis=None, fill_value=None, out=None, *, keepdims=<no value>)",{integer_array},https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.argmax.html
ma.MaskedArray.,argmin,"(axis=None, fill_value=None, out=None, *, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.argmin.html
ma.MaskedArray.,max,"(axis=None, out=None, fill_value=None, keepdims=<no value>)",array_like,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.max.html
ma.MaskedArray.,min,"(axis=None, out=None, fill_value=None, keepdims=<no value>)",array_like,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.min.html
ma.MaskedArray.,ptp,"(axis=None, out=None, fill_value=None, keepdims=False)",ndarray.,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.ptp.html
ma.,argsort,"(a, axis=<no value>, kind=None, order=None, endwith=True, fill_value=None)","ndarray, int",https://numpy.org/devdocs/reference/generated/numpy.ma.argsort.html
ma.,sort,"(a, axis=-1, kind=None, order=None, endwith=True, fill_value=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.sort.html
ma.MaskedArray.,argsort,"(axis=<no value>, kind=None, order=None, endwith=True, fill_value=None)","ndarray, int",https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.argsort.html
ma.MaskedArray.,sort,"(axis=-1, kind=None, order=None, endwith=True, fill_value=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.sort.html
ma.,diag,"(v, k=0)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.diag.html
ma.,dot,"(a, b, strict=False, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.dot.html
ma.,identity,"(n, dtype=None)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.identity.html
ma.,inner,"(a, b, /)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.inner.html
ma.,innerproduct,"(a, b, /)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.innerproduct.html
ma.,outer,"(a, b)","(M, N) ndarray",https://numpy.org/devdocs/reference/generated/numpy.ma.outer.html
ma.,outerproduct,"(a, b)","(M, N) ndarray",https://numpy.org/devdocs/reference/generated/numpy.ma.outerproduct.html
ma.,trace,"(self, offset=0, axis1=0, axis2=1, dtype=None, out=None) a.trace(offset=0, axis1=0, axis2=1, dtype=None, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.trace.html
ma.,transpose,"(a, axes=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.transpose.html
ma.MaskedArray.,trace,"(offset=0, axis1=0, axis2=1, dtype=None, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.trace.html
ma.MaskedArray.,transpose,(*axes),ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.transpose.html
ma.,vander,"(x, n=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.vander.html
ma.,polyfit,"(x, y, deg, rcond=None, full=False, w=None, cov=False)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.polyfit.html
ma.,around,,None,https://numpy.org/devdocs/reference/generated/numpy.ma.around.html
ma.,clip,,MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.clip.html
ma.,round,"(a, decimals=0, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.round.html
ma.MaskedArray.,clip,"(min=None, max=None, out=None, **kwargs)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.clip.html
ma.MaskedArray.,round,"(decimals=0, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.MaskedArray.round.html
ma.,intersect1d,"(ar1, ar2, assume_unique=False)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.intersect1d.html
ma.,setdiff1d,"(ar1, ar2, assume_unique=False)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.setdiff1d.html
ma.,setxor1d,"(ar1, ar2, assume_unique=False)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.setxor1d.html
ma.,union1d,"(ar1, ar2)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.union1d.html
ma.,allequal,"(a, b, fill_value=True)",bool,https://numpy.org/devdocs/reference/generated/numpy.ma.allequal.html
ma.,allclose,"(a, b, masked_equal=True, rtol=1e-05, atol=1e-08)",bool,https://numpy.org/devdocs/reference/generated/numpy.ma.allclose.html
ma.,apply_along_axis,"(func1d, axis, arr, *args, **kwargs)","ndarray  (Ni…, Nj…, Nk…)",https://numpy.org/devdocs/reference/generated/numpy.ma.apply_along_axis.html
ma.,apply_over_axes,"(func, a, axes)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ma.apply_over_axes.html
ma.,arange,"([start, ]stop, [step, ]dtype=None, *, like=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.arange.html
ma.,choose,"(indices, choices, out=None, mode='raise')",array,https://numpy.org/devdocs/reference/generated/numpy.ma.choose.html
ma.,ediff1d,"(arr, to_end=None, to_begin=None)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.ediff1d.html
ma.,indices,"(dimensions, dtype=<class 'int'>, sparse=False)",one MaskedArray or tuple of MaskedArrays,https://numpy.org/devdocs/reference/generated/numpy.ma.indices.html
ma.,where,"(condition, x=<no value>, y=<no value>)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.where.html
